what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1552118778823
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1552118778823
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1552118778823
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1552118778823
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1552118778823
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1552118778823
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1552118778823
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1552118778823
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1552118778823
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1552118778823
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1552118778823
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1552118778823
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1552118778823
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1552118778823
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1552118778823
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1552118778823
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1552118778823
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1552118778823
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1552118778823
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1552118778823
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1552118778823
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1552118778823
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1552118778823
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1552118778823
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1552118778823
started,bundle,org.tigris.subversion.subclipse.core,1.8.22,"org.tigris.subversion.subclipse.core",1552118778823
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1552118778823
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1552118778823
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1552118778823
os,sysinfo,,,"win32",1552118778823
arch,sysinfo,,,"x86_64",1552118778823
ws,sysinfo,,,"win32",1552118778823
locale,sysinfo,,,"zh_CN",1552118778823
processors,sysinfo,,,"4",1552118778823
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1552118778823
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1552118778823
java.specification.name,sysinfo,,,"Java Platform API Specification",1552118778823
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1552118778823
java.specification.version,sysinfo,,,"1.6",1552118778823
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1552118778823
java.version,sysinfo,,,"1.6.0_45",1552118778823
java.vm.info,sysinfo,,,"mixed mode",1552118778823
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1552118778823
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1552118778823
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1552118778823
java.vm.specification.version,sysinfo,,,"1.0",1552118778823
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1552118778823
java.vm.version,sysinfo,,,"20.45-b01",1552118778823
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1552118790293
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1552118790293
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1552118790293
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1552118790309
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1552118790340
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1552118792856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118798075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118800888
opened,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1552118801123
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1552118801169
opened,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.repositories",1552118801201
activated,perspective,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.svnPerspective",1552118801216
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1552118801216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1552118801248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1552118801248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118803842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118807905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118810952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1552118811811
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.10,"org.tigris.subversion.clientadapter.javahl",1552118813577
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.9.2,"org.tigris.subversion.clientadapter.svnkit",1552118813577
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1552118829844
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1552118829985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118845424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118848800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118851894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118855660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118875865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118879850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118882225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552118885053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1552118889070
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1552119019771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119020630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119026850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1552119027272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119033647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119035851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119037694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119038679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119108569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119112679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119292636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119296839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1552119297683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119302027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552119304027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121547267
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1552121549939
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1552121549939
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1552121551346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121554862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121560597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121561972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121611508
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1552121612977
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1552121613024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1552121615259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121626775
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1552121626807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121637527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121638683
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1552121648559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121650090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1552121650481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1552121650840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1552121651044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1552121651247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1552121651466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1552121651716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1552121652231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1552121653216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1552121654544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121894819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552121894945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1552121897929
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1552121899960
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1552121899960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1552121899976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552124009222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552125539820
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1552125542570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552125547306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552125557479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1552125559900
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1552125847094
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1552125851267
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1552125855939
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.core",1552125856002
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1552125856689
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1552125858174
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1552125858424
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1552125858486
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1552125858486
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1552125862346
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1552125863065
started,bundle,org.eclipse.jsch.ui,1.1.300.I20110511-0800,"org.eclipse.jsch.ui",1552125863065
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1552125872347
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1552125874598
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1552125874613
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1552125874676
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1552125874676
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1552125880583
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1552125887271
started,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1552125887302
started,bundle,org.eclipse.ant.core,3.2.300.v20110511,"org.eclipse.ant.core",1552125897115
started,bundle,org.eclipse.pde.build,3.7.0.v20110512-1320,"org.eclipse.pde.build",1552125897491
started,bundle,org.eclipse.datatools.connectivity,1.2.2.v201105270956,"org.eclipse.datatools.connectivity",1552126100778
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211430,"org.eclipse.datatools.connectivity.ui",1552126100778
started,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090458,"org.eclipse.datatools.enablement.sybase.ui",1552126105919
started,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.101.v201104090305,"org.eclipse.datatools.connectivity.apache.derby",1552126107169
started,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v201001180222,"org.eclipse.datatools.enablement.msft.sqlserver",1552126107200
started,bundle,org.eclipse.datatools.enablement.sqlite,1.0.0.v201002041100,"org.eclipse.datatools.enablement.sqlite",1552126107247
started,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.asa",1552126107372
started,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase",1552126107388
started,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.2.5.v201105240457,"org.eclipse.datatools.connectivity.oda.design.ui",1552126108622
started,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201104211630,"org.eclipse.datatools.enablement.oda.xml.ui",1552126110404
started,bundle,org.eclipse.datatools.connectivity.oda,3.3.2.v201105200920,"org.eclipse.datatools.connectivity.oda",1552126110435
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.2.v201104090305,"org.eclipse.datatools.connectivity.sqm.core",1552126111779
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1552126111779
started,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.common.ui",1552126112748
started,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.plan",1552126114451
started,bundle,org.eclipse.datatools.modelbase.sql,1.0.4.v201002250945,"org.eclipse.datatools.modelbase.sql",1552126115451
started,bundle,org.eclipse.datatools.sqltools.editor.core,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core",1552126115545
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1552126115545
started,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor",1552126115545
started,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1552126115560
started,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic",1552126115576
started,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby",1552126115576
started,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.v201010140307,"org.eclipse.datatools.enablement.sybase.asa.models",1552126115607
started,bundle,org.eclipse.datatools.enablement.sybase.models,1.0.0.v201010140307,"org.eclipse.datatools.enablement.sybase.models",1552126115623
